state,datawrapper_id
Arizona,EzKzV
California,oIEef
Colorado,S1Pe2
Florida,a9D72
Iowa,rz30j
Michigan,kRHAt
Nebraska,z5ir3
Nevada,kdv9H
New Hampshire,pvE46
New Jersey,voKCg
New Mexico,axZ94
New York,BM4mr
North Carolina,gGAaE
Ohio,EsPCz
Pennsylvania,RD0Pp
Texas,ELVOm
Virginia,2Ddiz
Washington,SioWC
Wisconsin,fkzGa
