key,state,state_code,state_district,district,geo_id,rating,incumbent_party,is_battleground,is_key_race,other_candidates
2026G-AZ-G-H-1,Arizona,AZ,AZ01,01,0401,Toss Up,REP,True,True,
2026G-AZ-G-H-2,Arizona,AZ,AZ02,02,0402,Likely Rep,REP,False,False,
2026G-AZ-G-H-3,Arizona,AZ,AZ03,03,0403,Likely Dem,DEM,False,False,
2026G-AZ-G-H-4,Arizona,AZ,AZ04,04,0404,Likely Dem,DEM,False,False,
2026G-AZ-G-H-5,Arizona,AZ,AZ05,05,0405,Likely Rep,REP,False,False,
2026G-AZ-G-H-6,Arizona,AZ,AZ06,06,0406,Toss Up,REP,True,True,
2026G-AZ-G-H-7,Arizona,AZ,AZ07,07,0407,Likely Dem,DEM,False,False,
2026G-AZ-G-H-8,Arizona,AZ,AZ08,08,0408,Likely Rep,REP,False,False,
2026G-AZ-G-H-9,Arizona,AZ,AZ09,09,0409,Likely Rep,REP,False,False,
