key,state,state_code,state_district,district,geo_id,rating,incumbent_party,is_battleground,is_key_race,other_candidates
2026G-WA-G-H-1,Washington,WA,WA01,01,5301,Likely Dem,DEM,False,False,
2026G-WA-G-H-2,Washington,WA,WA02,02,5302,Likely Dem,DEM,False,False,
2026G-WA-G-H-3,Washington,WA,WA03,03,5303,Lean Dem,DEM,True,True,
2026G-WA-G-H-4,Washington,WA,WA04,04,5304,Likely Rep,REP,False,False,
2026G-WA-G-H-5,Washington,WA,WA05,05,5305,Likely Rep,REP,False,False,
2026G-WA-G-H-6,Washington,WA,WA06,06,5306,Likely Dem,DEM,False,False,
2026G-WA-G-H-7,Washington,WA,WA07,07,5307,Likely Dem,DEM,False,False,
2026G-WA-G-H-8,Washington,WA,WA08,08,5308,Likely Dem,DEM,False,False,
2026G-WA-G-H-9,Washington,WA,WA09,09,5309,Likely Dem,DEM,False,False,
2026G-WA-G-H-10,Washington,WA,WA10,10,5310,Likely Dem,DEM,False,False,
